AffiliateSiteName,Domain,Paper,City,State,Header,Footer,Desktop GAM AU 1,Mobile GAM AU 1,Desktop GAM Ad Unit 2 (1),Desktop GAM Ad Unit 2 (2),Desktop GAM Ad Unit 2 (3),Mobile GAM Ad Unit 2,Desktop/Mobile Ad Unit 3,leaderboard_atf Full GAM Ad Unit Path,leaderboard_btf Full GAM Ad Unit Path,poster_front_btf Full GAM Ad Unit Path,mobileweb-banner_top Full GAM Ad Unit Path
alicetx,alicetx.com,Alice Echo-News Journal,Alice,TX,https://www.alicetx.com/services/cobrand/header/,https://www.alicetx.com/services/cobrand/footer/,tx-alice-C6683,tx-alice-mobile-C6683,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/tx-alice-C6683/leaderboard_atf/obituaries,7103/tx-alice-C6683/leaderboard_btf/obituaries,7103/tx-alice-C6683/poster_front_btf/obituaries,7103/tx-alice-mobile-C6683/mobileweb-banner_top/obituaries
amarillo,amarillo.com,Amarillo Globe News,Amarillo,TX,https://www.amarillo.com/services/cobrand/header/,https://www.amarillo.com/services/cobrand/footer/,tx-amarillo-C6601,tx-amarillo-mobile-C6601,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/tx-amarillo-C6601/leaderboard_atf/obituaries,7103/tx-amarillo-C6601/leaderboard_btf/obituaries,7103/tx-amarillo-C6601/poster_front_btf/obituaries,7103/tx-amarillo-mobile-C6601/mobileweb-banner_top/obituaries
amestribune,amestribune.com,Ames Tribune,Ames,IA,https://www.amestribune.com/services/cobrand/header/,https://www.amestribune.com/services/cobrand/footer/,ia-ames-C6765,ia-ames-mobile-C6765,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/ia-ames-C6765/leaderboard_atf/obituaries,7103/ia-ames-C6765/leaderboard_btf/obituaries,7103/ia-ames-C6765/poster_front_btf/obituaries,7103/ia-ames-mobile-C6765/mobileweb-banner_top/obituaries
apalachtimes,apalachtimes.com,The Times,Apalachicola,FL,https://www.apalachtimes.com/services/cobrand/header/,https://www.apalachtimes.com/services/cobrand/footer/,fl-apalachicola-C6734,fl-apalachicola-mobile-C6734,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/fl-apalachicola-C6734/leaderboard_atf/obituaries,7103/fl-apalachicola-C6734/leaderboard_btf/obituaries,7103/fl-apalachicola-C6734/poster_front_btf/obituaries,7103/fl-apalachicola-mobile-C6734/mobileweb-banner_top/obituaries
augustachronicle,augustachronicle.com,Augusta Chronicle,Augusta,GA,https://www.augustachronicle.com/services/cobrand/header/,https://www.augustachronicle.com/services/cobrand/footer/,ga-augusta-C6592,ga-augusta-mobile-C6592,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/ga-augusta-C6592/leaderboard_atf/obituaries,7103/ga-augusta-C6592/leaderboard_btf/obituaries,7103/ga-augusta-C6592/poster_front_btf/obituaries,7103/ga-augusta-mobile-C6592/mobileweb-banner_top/obituaries
blueridgenow,blueridgenow.com,Times-News,Hendersonville,NC,https://www.blueridgenow.com/services/cobrand/header/,https://www.blueridgenow.com/services/cobrand/footer/,nc-hendersonville-C6705,nc-hendersonville-mobile-C6705,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/nc-hendersonville-C6705/leaderboard_atf/obituaries,7103/nc-hendersonville-C6705/leaderboard_btf/obituaries,7103/nc-hendersonville-C6705/poster_front_btf/obituaries,7103/nc-hendersonville-mobile-C6705/mobileweb-banner_top/obituaries
boonevilledemocrat,boonevilledemocrat.com,Booneville Democrat,Booneville,AR,https://www.boonevilledemocrat.com/services/cobrand/header/,https://www.boonevilledemocrat.com/services/cobrand/footer/,ar-booneville-C6748,ar-booneville-mobile-C6748,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/ar-booneville-C6748/leaderboard_atf/obituaries,7103/ar-booneville-C6748/leaderboard_btf/obituaries,7103/ar-booneville-C6748/poster_front_btf/obituaries,7103/ar-booneville-mobile-C6748/mobileweb-banner_top/obituaries
boonvilledailynews,boonvilledailynews.com,Boonville Daily News,Boonville,MO,https://www.boonvilledailynews.com/services/cobrand/header/,https://www.boonvilledailynews.com/services/cobrand/footer/,mo-boonville-C6532,mo-boonville-mobile-C6532,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/mo-boonville-C6532/leaderboard_atf/obituaries,7103/mo-boonville-C6532/leaderboard_btf/obituaries,7103/mo-boonville-C6532/poster_front_btf/obituaries,7103/mo-boonville-mobile-C6532/mobileweb-banner_top/obituaries
buckscountycouriertimes,buckscountycouriertimes.com,Bucks County Courier Times,Levittown,PA,https://www.buckscountycouriertimes.com/services/cobrand/header/,https://www.buckscountycouriertimes.com/services/cobrand/footer/,pa-buckscounty-C6570,pa-buckscounty-mobile-C6570,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/pa-buckscounty-C6570/leaderboard_atf/obituaries,7103/pa-buckscounty-C6570/leaderboard_btf/obituaries,7103/pa-buckscounty-C6570/poster_front_btf/obituaries,7103/pa-buckscounty-mobile-C6570/mobileweb-banner_top/obituaries
burlingtoncountytimes,burlingtoncountytimes.com,Burlington County Times,Willingboro,NJ,https://www.burlingtoncountytimes.com/services/cobrand/header/,https://www.burlingtoncountytimes.com/services/cobrand/footer/,nj-willingboro-C6573,nj-willingboro-mobile-C6573,leaderboard_atf,poster_front_btf,leaderboard_btf,mobileweb-banner_top,obituaries,7103/nj-willingboro-C6573/leaderboard_atf/obituaries,7103/nj-willingboro-C6573/leaderboard_btf/obituaries,7103/nj-willingboro-C6573/poster_front_btf/obituaries,7103/nj-willingboro-mobile-C6573/mobileweb-banner_top/obituaries
